sci_fig,caption,inline_reference,metadata,label,acl_paper_id
2007.sigdial-1.44.pdf-Figure2.png,Figure 2: Dialogue SDRS updating algorithm.,[u'A rather informal statement of this improved algorithm is presented in Figure 2 ; steps added in the present version of the algorithm are shown in bold-face. A'],2007.sigdial-1.44deepfigures-results.json,algorithms,2007.sigdial-1.44
C00-2139.pdf-Figure2.png,Figure 2: Alignment learning algorithm,[u'2 Assign non-terminals to the constituents i.e. distinct parts of s 1 and s 2 Figure 2 : Alignment learning algorithm tences as shown in gure 1.'],C00-2139deepfigures-results.json,algorithms,C00-2139
C02-1014.pdf-Figure1.png,Figure 1. Implementation of the automatic process using genus and relater information,[u'. figure 1 shows the algorithm used.'],C02-1014deepfigures-results.json,algorithms,C02-1014
C02-1144.pdf-Figure1.png,Figure 1. Phase II of CBC.,[u'. the details of phase ii are presented in figure 1 .'],C02-1144deepfigures-results.json,algorithms,C02-1144
C02-1158.pdf-Figure1.png,Figure 1: Previous works.,"[u'different parts are replaced by variables to generalize translation examples as shown in (1) of Figure 1 . However, the number of different parts of the two SL sentences must be same', u'as shown in (3a) of Figure 1 . Moreover, the system performs Inductive Learning. By using Inductive Learning, the abstract translation rules', u'. by using inductive learning, the abstract translation rules are acquired by performing phased extraction of different parts as shown in figure 1 (3b) and (3c).', u'. in all methods shown in figure 1 , the condition of acquisition of translation rules is that two similar translation examples must exist.']",C02-1158deepfigures-results.json,algorithms,C02-1158
C04-1020.pdf-Figure1.png,Figure 1. Coherence graph for (10).,[],C04-1020deepfigures-results.json,algorithms,C04-1020
C04-1020.pdf-Figure3.png,Figure 3. Coherence graph for (12).,"[u'. the resulting coherence structure, shown in figure 3 , contains a crossed dependency between {3, 1} and {2, 0-1}.']",C04-1020deepfigures-results.json,algorithms,C04-1020
C04-1024.pdf-Figure3.png,Figure 3: Extraction of the 1-bits from a bit vector,[u'. figure 3 shows how the 1-bits would be extracted from a 4-bit word v and stored in the set s.'],C04-1024deepfigures-results.json,algorithms,C04-1024
C04-1024.pdf-Figure4.png,Figure 4: Parse forest with two analyses for A,[],C04-1024deepfigures-results.json,algorithms,C04-1024
C04-1024.pdf-Figure5.png,Figure 5: Parse forest generation,[u'. the parse forest is built by the function parse shown in figure 5 .'],C04-1024deepfigures-results.json,algorithms,C04-1024
C04-1079.pdf-Figure3.png,Figure 3. Framework for extracting discussion Issues.,"[u'In Figure 3 , we present the general framework of the algorithm. In this framework we divide the']",C04-1079deepfigures-results.json,algorithms,C04-1079
C04-1079.pdf-Figure4.png,Figure 4. Oracle 1 heuristic rules,"[u'The oracle in Figure 4 attempts to choose the best sentence, retrieving a single sentence. Rule 2 attempts to encode']",C04-1079deepfigures-results.json,algorithms,C04-1079
C04-1079.pdf-Figure5.png,Figure 5. Oracle 2 heuristic rules,"[u"". if all methods return different answers, then choose centroid method's answer figure 5 .""]",C04-1079deepfigures-results.json,algorithms,C04-1079
C04-1134.pdf-Figure2.png,Figure 2. BiFrameNet ontology induction,[],C04-1134deepfigures-results.json,algorithms,C04-1134
C04-1134.pdf-Figure3.png,Figure 3. BiFrameNet example sentence induction,[],C04-1134deepfigures-results.json,algorithms,C04-1134
C04-1171.pdf-Figure2.png,Figure 2. Pseudo-code of descriptor generation,[],C04-1171deepfigures-results.json,algorithms,C04-1171
C04-1172.pdf-Figure3.png,Figure 3: Examples of embedding,[u'. figure 3 .'],C04-1172deepfigures-results.json,algorithms,C04-1172
C04-1172.pdf-Figure4.png,Figure 4: An example with a gap,"[u'Consider Figure 4 . It shows how one can look for objects inside ""gaps"" in other objects. In', u'. the query in figure 4 searches for structures of this kind.']",C04-1172deepfigures-results.json,algorithms,C04-1172
C04-1172.pdf-Figure5.png,Figure 5: Example with agreement,"[u'. in figure 5 , the ""as"" keyword gives a name (""w1"") to the noun inside the np, and this name can then be used inside the adjective in the adjp to specify agreement.']",C04-1172deepfigures-results.json,algorithms,C04-1172
